Age by year of birth and completed years of age,Legal marital status,Type of building,Census year,Territory,Data type,Gender,Age,0,Flags
"all items","total","all items","2011","Bologna","elder for child","total","total",5.58,
"all items","total","all items","2011","Bologna","dependency ratio ","total","total",60.91,
"all items","total","all items","2011","Bologna","ageing index ","total","total",237.5,
"all items","total","all items","2011","Bologna","population aged 65 and over (percentage values)","females","65 years and over",60.38,
"all items","total","all items","2011","Bologna","population aged 75 and over (percentage values)","females","75 years and over",63.91,
"all items","total","all items","2011","Bologna","population aged 85 and over (percentage values)","females","85 years and over",70.37,
"all items","total","all items","2011","Brescia","resident population (absolute values)","females","until 4 years",4237,
"all items","total","all items","2011","Brescia","resident population (absolute values)","females","total",101060,
"all items","total","all items","2011","Brescia","resident population (absolute values)","total","until 4 years",8743,
"all items","total","all items","2011","Brescia","resident population (absolute values)","total","until 5 years",10437,
"all items","total","all items","2011","Brescia","resident population (absolute values)","total","65 years and over",46269,
"all items","total","all items","2011","Brescia","resident population (absolute values)","total","75 years and over",23597,
"all items","total","all items","2011","Brescia","resident population (absolute values)","total","total",189902,
"all items","total","all items","2011","Brescia","resident population (percentage values)","total","until 4 years",4.6,
"all items","total","all items","2011","Brescia","resident population (percentage values)","total","until 5 years",5.5,
"all items","total","all items","2011","Brescia","resident population (percentage values)","total","65 years and over",24.36,
"all items","total","all items","2011","Brescia","resident population (percentage values)","total","75 years and over",12.43,
"all items","total","all items","2011","Brescia","resident population (percentage values)","total","85 years and over",3.63,
"all items","total","all items","2011","Brescia","elder for child","total","total",4.43,
"all items","total","all items","2011","Brescia","dependency ratio ","total","total",60.85,
"all items","total","all items","2011","Brescia","ageing index ","total","total",180.91,
"all items","total","all items","2011","Brescia","population aged 65 and over (percentage values)","females","65 years and over",61.01,
"all items","total","all items","2011","Brescia","population aged 75 and over (percentage values)","females","75 years and over",65.67,
"all items","total","all items","2011","Brescia","population aged 85 and over (percentage values)","females","85 years and over",73.73,
"all items","total","all items","2011","Brescia","sex ratio","total","total",87.91,
"all items","total","all items","2011","Genova","resident population (absolute values)","females","until 4 years",10773,
"all items","total","all items","2011","Genova","resident population (absolute values)","females","total",312785,
"all items","total","all items","2011","Genova","resident population (absolute values)","total","until 4 years",22068,
"all items","total","all items","2011","Genova","resident population (absolute values)","total","until 5 years",26481,
"all items","total","all items","2011","Genova","resident population (absolute values)","total","65 years and over",162218,
"all items","total","all items","2011","Genova","resident population (absolute values)","total","75 years and over",85493,
"all items","total","all items","2011","Genova","resident population (absolute values)","total","total",586180,
"all items","total","all items","2011","Genova","resident population (percentage values)","total","until 4 years",3.76,
"all items","total","all items","2011","Genova","resident population (percentage values)","total","until 5 years",4.52,
"all items","total","all items","2011","Genova","resident population (percentage values)","total","65 years and over",27.67,
"all items","total","all items","2011","Genova","resident population (percentage values)","total","75 years and over",14.58,
"all items","total","all items","2011","Genova","resident population (percentage values)","total","85 years and over",4.27,
"all items","total","all items","2011","Genova","elder for child","total","total",6.13,
"all items","total","all items","2011","Genova","dependency ratio ","total","total",64.33,
"all items","total","all items","2011","Genova","ageing index ","total","total",241.22,
"all items","total","all items","2011","Genova","population aged 65 and over (percentage values)","females","65 years and over",59.59,
"all items","total","all items","2011","Genova","population aged 75 and over (percentage values)","females","75 years and over",63.49,
"all items","total","all items","2011","Genova","population aged 85 and over (percentage values)","females","85 years and over",70.52,
"all items","total","all items","2011","Genova","sex ratio","total","total",87.41,
"all items","total","all items","2011","Milano","resident population (absolute values)","females","until 4 years",26875,
"all items","total","all items","2011","Milano","resident population (absolute values)","females","total",661145,
"all items","total","all items","2011","Milano","resident population (absolute values)","total","until 4 years",55415,
"all items","total","all items","2011","Milano","resident population (absolute values)","total","until 5 years",66316,
"all items","total","all items","2011","Milano","resident population (absolute values)","total","65 years and over",310106,
"all items","total","all items","2011","Milano","resident population (absolute values)","total","75 years and over",158381,
"all items","total","all items","2011","Milano","resident population (absolute values)","total","total",1242123,
"all items","total","all items","2011","Milano","resident population (percentage values)","total","until 4 years",4.46,
"all items","total","all items","2011","Milano","resident population (percentage values)","total","until 5 years",5.34,
"all items","total","all items","2011","Milano","resident population (percentage values)","total","65 years and over",24.97,
"all items","total","all items","2011","Milano","resident population (percentage values)","total","75 years and over",12.75,
"all items","total","all items","2011","Milano","resident population (percentage values)","total","85 years and over",3.56,
"all items","total","all items","2011","Milano","elder for child","total","total",4.68,
"all items","total","all items","2011","Milano","dependency ratio ","total","total",60.47,
"all items","total","all items","2011","Milano","ageing index ","total","total",196.33,
"all items","total","all items","2011","Milano","population aged 65 and over (percentage values)","females","65 years and over",60.18,
"all items","total","all items","2011","Milano","population aged 75 and over (percentage values)","females","75 years and over",63.95,
"all items","total","all items","2011","Milano","population aged 85 and over (percentage values)","females","85 years and over",71.68,
"all items","total","all items","2011","Milano","sex ratio","total","total",87.87,
"all items","total","all items","2011","Modena","resident population (absolute values)","females","until 4 years",4018,
"all items","total","all items","2011","Modena","resident population (absolute values)","females","total",94175,
"all items","total","all items","2011","Modena","resident population (absolute values)","total","until 4 years",8363,
"all items","total","all items","2011","Modena","resident population (absolute values)","total","until 5 years",9923,
"all items","total","all items","2011","Modena","resident population (absolute values)","total","65 years and over",41756,
